🌿【央视自建】,#genre#
天津卫视,http://39.134.65.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视,http://39.134.65.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
吉林卫视,http://39.134.65.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
黑龙江卫视,http://39.134.65.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
黑龙江卫视,http://39.134.65.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8

🌿【央视自建备用2】,#genre#
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8
CCTV1,http://183.207.248.71/PLTV/3/224/3221228213/1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV2,http://183.207.248.71/PLTV/3/224/3221228300/1.m3u8
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV3,http://183.207.248.71/PLTV/3/224/3221228392/1.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV4,http://183.207.248.71/PLTV/3/224/3221227658/1.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5,http://183.207.248.71/PLTV/3/224/3221228395/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://183.207.248.71/PLTV/3/224/3221228277/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://183.207.248.71/PLTV/3/224/3221228280/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://183.207.248.71/PLTV/3/224/3221227314/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://183.207.248.71/PLTV/3/224/3221228398/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://183.207.248.71/PLTV/3/224/3221227659/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221226128/1.m3u8
CCTV10,http://183.207.248.71/PLTV/3/224/3221227620/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8
CCTV11,http://183.207.248.71/PLTV/3/224/3221227720/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://183.207.248.71/PLTV/3/224/3221227655/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8
CCTV13,http://183.207.248.71/PLTV/3/224/3221228324/1.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://183.207.248.71/PLTV/3/224/3221227693/1.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://183.207.248.71/PLTV/3/224/3221227723/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://183.207.248.71/PLTV/3/224/3221228112/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://183.207.248.71/PLTV/3/224/3221227578/1.m3u8

🌿【SD组播】,#genre#
CCTV1,http://171.118.179.39:8001/udp/226.0.2.153:9136
CCTV2,http://171.118.179.39:8001/udp/226.0.2.154:9144
CCTV3,http://171.118.179.39:8001/udp/226.0.2.208:9576
CCTV4,http://171.118.179.39:8001/udp/226.0.2.156:9160
CCTV5,http://171.118.179.39:8001/udp/226.0.2.209:9584
CCTV5+,http://171.118.179.39:8001/udp/226.0.2.168:9256
CCTV6,http://171.118.179.39:8001/udp/226.0.2.210:9592
CCTV7,http://171.118.179.39:8001/udp/226.0.2.159:9184
CCTV8,http://171.118.179.39:8001/udp/226.0.2.211:9600
CCTV9,http://171.118.179.39:8001/udp/226.0.2.161:9200
CCTV10,http://171.118.179.39:8001/udp/226.0.2.162:9208
CCTV12,http://171.118.179.39:8001/udp/226.0.2.164:9224
CCTV13,http://171.118.179.39:8001/udp/226.0.2.165:9232
CCTV14,http://171.118.179.39:8001/udp/226.0.2.166:9240
CCTV16,http://171.118.179.39:8001/udp/226.0.2.169:9264
CCTV17,http://171.118.179.39:8001/udp/226.0.2.170:9272
CCTV1,http://171.118.179.39:8001/udp/226.0.2.18:8056
CCTV2,http://171.118.179.39:8001/udp/226.0.2.19:8064
CCTV3,http://171.118.179.39:8001/udp/226.0.2.20:8072
CCTV4,http://171.118.179.39:8001/udp/226.0.2.21:8080
CCTV5,http://171.118.179.39:8001/udp/226.0.2.22:8088
CCTV6,http://171.118.179.39:8001/udp/226.0.2.23:8096
CCTV7,http://171.118.179.39:8001/udp/226.0.2.24:8104
CCTV8,http://171.118.179.39:8001/udp/226.0.2.25:8112
CCTV9,http://171.118.179.39:8001/udp/226.0.2.26:8120
CCTV10,http://171.118.179.39:8001/udp/226.0.2.27:8128
CCTV11,http://171.118.179.39:8001/udp/226.0.2.28:8136
CCTV12,http://171.118.179.39:8001/udp/226.0.2.29:8144
CCTV13,http://171.118.179.39:8001/udp/226.0.2.30:8152
CCTV14,http://171.118.179.39:8001/udp/226.0.2.31:8160
CCTV15,http://171.118.179.39:8001/udp/226.0.2.32:8168
CCTV17,http://171.118.179.39:8001/udp/226.0.2.207:9568
CCTV央视台球,http://171.118.179.39:8001/udp/226.0.2.216:9640
CCTV高网,http://171.118.179.39:8001/udp/226.0.2.217:9648
CCTV电视指南,http://171.118.179.39:8001/udp/226.0.2.218:9656
CCTV央视文化精品,http://171.118.179.39:8001/udp/226.0.2.219:9664
CCTV风云音乐,http://171.118.179.39:8001/udp/226.0.2.220:9672
CCTV世界地理,http://171.118.179.39:8001/udp/226.0.2.222:9688
CCTV兵器科技,http://171.118.179.39:8001/udp/226.0.2.223:9696
CCTV风云足球,http://171.118.179.39:8001/udp/226.0.2.225:9712
CCTV女性时尚,http://171.118.179.39:8001/udp/226.0.2.226:9720
CCTV第一剧场,http://171.118.179.39:8001/udp/226.0.2.221:9680
CCTV怀旧剧场,http://171.118.179.39:8001/udp/226.0.2.224:9704
CCTV风云剧场,http://171.118.179.39:8001/udp/226.0.2.227:9728
湖南卫视,http://171.118.179.39:8001/udp/226.0.2.143:9056
浙江卫视,http://171.118.179.39:8001/udp/226.0.2.144:9064
安徽卫视,http://171.118.179.39:8001/udp/226.0.2.145:9072
广东卫视,http://171.118.179.39:8001/udp/226.0.2.146:9080
深圳卫视,http://171.118.179.39:8001/udp/226.0.2.147:9088
天津卫视,http://171.118.179.39:8001/udp/226.0.2.148:9096
山东卫视,http://171.118.179.39:8001/udp/226.0.2.149:9104
湖北卫视,http://171.118.179.39:8001/udp/226.0.2.150:9112
黑龙江卫视,http://171.118.179.39:8001/udp/226.0.2.151:9120
山西卫视,http://171.118.179.39:8001/udp/226.0.2.152:9128
辽宁卫视,http://171.118.179.39:8001/udp/226.0.2.173:9296
重庆卫视,http://171.118.179.39:8001/udp/226.0.2.174:9304
东方卫视,http://171.118.179.39:8001/udp/226.0.2.175:9312
江苏卫视,http://171.118.179.39:8001/udp/226.0.2.176:9320
北京卫视,http://171.118.179.39:8001/udp/226.0.2.177:9328
河北卫视,http://171.118.179.39:8001/udp/226.0.2.178:9336
四川卫视,http://171.118.179.39:8001/udp/226.0.2.179:9344
贵州卫视,http://171.118.179.39:8001/udp/226.0.2.180:9352
湖南卫视,http://171.118.179.39:8001/udp/226.0.2.33:8176
东方卫视,http://171.118.179.39:8001/udp/226.0.2.34:8184
辽宁卫视,http://171.118.179.39:8001/udp/226.0.2.35:8192
浙江卫视,http://171.118.179.39:8001/udp/226.0.2.36:8200
安徽卫视,http://171.118.179.39:8001/udp/226.0.2.37:8208
江苏卫视,http://171.118.179.39:8001/udp/226.0.2.38:8216
北京卫视,http://171.118.179.39:8001/udp/226.0.2.39:8224
东南卫视,http://171.118.179.39:8001/udp/226.0.2.40:8232
四川卫视,http://171.118.179.39:8001/udp/226.0.2.42:8248
贵州卫视,http://171.118.179.39:8001/udp/226.0.2.43:8256
广东卫视,http://171.118.179.39:8001/udp/226.0.2.45:8272
广西卫视,http://171.118.179.39:8001/udp/226.0.2.46:8280
深圳卫视,http://171.118.179.39:8001/udp/226.0.2.47:8288
黑龙江卫视,http://171.118.179.39:8001/udp/226.0.2.48:8296
湖北卫视,http://171.118.179.39:8001/udp/226.0.2.49:8304
重庆卫视,http://171.118.179.39:8001/udp/226.0.2.50:8312
山东卫视,http://171.118.179.39:8001/udp/226.0.2.51:8320
河南卫视,http://171.118.179.39:8001/udp/226.0.2.52:8328
陕西卫视,http://171.118.179.39:8001/udp/226.0.2.53:8336
江西卫视,http://171.118.179.39:8001/udp/226.0.2.54:8344
甘肃卫视,http://171.118.179.39:8001/udp/226.0.2.55:8352
天津卫视,http://171.118.179.39:8001/udp/226.0.2.56:8360
吉林卫视,http://171.118.179.39:8001/udp/226.0.2.58:8376
青海卫视,http://171.118.179.39:8001/udp/226.0.2.59:8384
云南卫视,http://171.118.179.39:8001/udp/226.0.2.60:8392
海南卫视,http://171.118.179.39:8001/udp/226.0.2.61:8400
兵团卫视,http://171.118.179.39:8001/udp/226.0.2.62:8408
内蒙古卫视,http://171.118.179.39:8001/udp/226.0.2.63:8416
宁夏卫视,http://171.118.179.39:8001/udp/226.0.2.64:8424
河北卫视,http://171.118.179.39:8001/udp/226.0.2.65:8432
西藏卫视,http://171.118.179.39:8001/udp/226.0.2.66:8440
新疆卫视,http://171.118.179.39:8001/udp/226.0.2.67:8448
东南卫视,http://171.118.179.39:8001/udp/226.0.2.188:9416
河南卫视,http://171.118.179.39:8001/udp/226.0.2.195:9472
江西卫视,http://171.118.179.39:8001/udp/226.0.2.198:9496
吉林卫视,http://171.118.179.39:8001/udp/226.0.2.199:9504
海南卫视,http://171.118.179.39:8001/udp/226.0.2.212:9608
广西卫视,http://171.118.179.39:8001/udp/226.0.2.231:9760
CETV1,http://171.118.179.39:8001/udp/226.0.2.68:8456
CETV2,http://171.118.179.39:8001/udp/226.0.2.69:8464
CETV4,http://171.118.179.39:8001/udp/226.0.2.70:8472
CHC影迷电影,http://171.118.179.39:8001/udp/226.0.2.93:8004
CHC家庭影院,http://171.118.179.39:8001/udp/226.0.2.240:9820
CHC动作影院,http://171.118.179.39:8001/udp/226.0.2.94:8012

🐠斗鱼,#genre#
豆瓣TOP斗鱼,https://www.goodiptv.club/douyu/8770422
豆瓣TOP斗鱼,http://zzy789.xyz/douyu1.php?id=8770422
豆瓣TOP斗鱼,http://43.138.170.29:35455/douyu/8770422
豆瓣TOP斗鱼,http://159.75.85.63:35455/douyu/8770422
豆瓣TOP斗鱼,https://diyp.112114.xyz/douyu/8770422
豆瓣TOP斗鱼,https://epg.112114.xyz/douyu/8770422
漫威斗鱼,http://mmitv.top/test/douyu.php?id=6140589
漫威斗鱼,http://zzy789.xyz/douyu1.php?id=6140589
漫威斗鱼,https://www.goodiptv.club/douyu/6140589
女神金斗鱼,https://www.goodiptv.club/douyu/747764
女神金斗鱼,http://zzy789.xyz/douyu1.php?id=747764
女神金斗鱼,https://diyp.112114.xyz/douyu/747764
女神金斗鱼,https://epg.112114.xyz/douyu/747764
小宇斗鱼,http://zzy789.xyz/douyu1.php?id=323876
小宇斗鱼,https://www.goodiptv.club/douyu/323876
小宇斗鱼,https://diyp.112114.xyz/douyu/323876
小宇斗鱼,https://epg.112114.xyz/douyu/323876
神乐斗鱼,https://www.goodiptv.club/douyu/122402
神乐斗鱼,http://zzy789.xyz/douyu1.php?id=122402
神乐斗鱼,https://diyp.112114.xyz/douyu/122402
神乐斗鱼,https://epg.112114.xyz/douyu/122402
神乐2斗鱼,https://www.goodiptv.club/douyu/85894
神乐2斗鱼,http://zzy789.xyz/douyu1.php?id=85894
贝爷MAX斗鱼,https://www.goodiptv.club/douyu/4332
贝爷MAX斗鱼,http://zzy789.xyz/douyu1.php?id=4332
贝爷MAX斗鱼,https://diyp.112114.xyz/douyu/4332
贝爷MAX斗鱼,https://epg.112114.xyz/douyu/4332
贝爷斗鱼,https://www.goodiptv.club/douyu/36337
贝爷斗鱼,http://zzy789.xyz/douyu1.php?id=36337
贝爷斗鱼,https://diyp.112114.xyz/douyu/36337
贝爷影厅斗鱼,https://www.goodiptv.club/douyu/252802
贝爷影厅斗鱼,http://zzy789.xyz/douyu1.php?id=252802
